SEX,SEXDesc,AGE,AGEDesc,freq,period,sv,svDesc,figure,sd_value
,Total,,Total,H,196106,POP,Number ('000),3168.1,
,Total,0-4,0 - 4,H,196106,POP,Number ('000),528.9,
,Total,10-14,10 - 14,H,196106,POP,Number ('000),321.3,
,Total,15-19,15 - 19,H,196106,POP,Number ('000),187,
,Total,20-24,20 - 24,H,196106,POP,Number ('000),193.7,
,Total,25-29,25 - 29,H,196106,POP,Number ('000),247.8,
,Total,30-34,30 - 34,H,196106,POP,Number ('000),260.2,
,Total,35-39,35 - 39,H,196106,POP,Number ('000),229.2,
,Total,40-44,40 - 44,H,196106,POP,Number ('000),203.7,
,Total,45-49,45 - 49,H,196106,POP,Number ('000),167.7,
,Total,5-9,5 - 9,H,196106,POP,Number ('000),433.7,
,Total,50-54,50 - 54,H,196106,POP,Number ('000),133.9,
,Total,55-59,55 - 59,H,196106,POP,Number ('000),91.1,
,Total,60-64,60 - 64,H,196106,POP,Number ('000),69.8,
,Total,65-69,65 - 69,H,196106,POP,Number ('000),45.6,
,Total,70-74,70 - 74,H,196106,POP,Number ('000),29.7,
,Total,75-79,75 - 79,H,196106,POP,Number ('000),14.3,
,Total,80-84,80 - 84,H,196106,POP,Number ('000),7.7,
,Total,85+,≥85,H,196106,POP,Number ('000),2.8,
F,Female,,Total,H,196106,POP,Number ('000),1581.2,
F,Female,0-4,0 - 4,H,196106,POP,Number ('000),260.5,
F,Female,10-14,10 - 14,H,196106,POP,Number ('000),160.2,
F,Female,15-19,15 - 19,H,196106,POP,Number ('000),91,
F,Female,20-24,20 - 24,H,196106,POP,Number ('000),91.6,
F,Female,25-29,25 - 29,H,196106,POP,Number ('000),118,
F,Female,30-34,30 - 34,H,196106,POP,Number ('000),124.8,
F,Female,35-39,35 - 39,H,196106,POP,Number ('000),110.1,
F,Female,40-44,40 - 44,H,196106,POP,Number ('000),96.8,
F,Female,45-49,45 - 49,H,196106,POP,Number ('000),82.6,
F,Female,5-9,5 - 9,H,196106,POP,Number ('000),212.1,
F,Female,50-54,50 - 54,H,196106,POP,Number ('000),69.3,
F,Female,55-59,55 - 59,H,196106,POP,Number ('000),53.1,
F,Female,60-64,60 - 64,H,196106,POP,Number ('000),43,
F,Female,65-69,65 - 69,H,196106,POP,Number ('000),30.3,
F,Female,70-74,70 - 74,H,196106,POP,Number ('000),20.1,
F,Female,75-79,75 - 79,H,196106,POP,Number ('000),10.2,
F,Female,80-84,80 - 84,H,196106,POP,Number ('000),5.5,
