Route_1_ID,Route_1_Name,Route_1_Operator,Route_2_ID,Route_2_Name,Route_2_Operator,Overlap_Count,Overlap_Percentage,Overlapping_Stops,Common_Stop_Names_TC,Common_Stop_Names_EN,Current_Scenario,Current_Waiting_Time_Min,Current_Service_Frequency_Min,Current_Coordination_Status,Ideal_Scenario,Ideal_Waiting_Time_Min,Ideal_Service_Frequency_Min,Ideal_Coordination_Status,Coordination_Potential,Passenger_Impact,Implementation_Priority,Geographic_Area,Service_Type,Analysis_Date
1,STAR FERRY,KMB,2,STAR FERRY,KMB,3,75.0,"STOP001,STOP002,STOP003","竹園邨,黃大仙站,九龍塘站","Chuk Yuen Estate,Wong Tai Sin Station,Kowloon Tong Station",No Coordination,8.5,12,Independent Operation,Coordinated Scheduling,6.0,8,Coordinated Operation,High,Significant,High Priority,Urban Corridor,Cross-Harbor,2024-10-19
3,中環,KMB,6,中環,KMB,3,75.0,"STOP101,STOP102,STOP103","中環,金鐘,灣仔","Central,Admiralty,Wan Chai",No Coordination,7.2,10,Independent Operation,Coordinated Scheduling,5.0,6,Coordinated Operation,High,Significant,High Priority,Central District,Urban Route,2024-10-19
5,尖沙咀,KMB,8,尖沙咀,KMB,3,60.0,"STOP201,STOP202,STOP203","尖沙咀,佐敦,油麻地","Tsim Sha Tsui,Jordan,Yau Ma Tei",No Coordination,6.8,15,Independent Operation,Limited Coordination,5.5,12,Partial Coordination,Medium,Moderate,Medium Priority,Tsim Sha Tsui,Cross-Harbor,2024-10-19
9,旺角,KMB,10,旺角,KMB,3,60.0,"STOP301,STOP302,STOP303","旺角,油麻地,佐敦","Mong Kok,Yau Ma Tei,Jordan",No Coordination,6.5,14,Independent Operation,Limited Coordination,5.2,11,Partial Coordination,Medium,Moderate,Medium Priority,Mong Kok,Urban Route,2024-10-19
15,沙田,KMB,16,沙田,KMB,2,40.0,"STOP401,STOP402","沙田,九龍塘","Sha Tin,Kowloon Tong",No Coordination,5.8,18,Independent Operation,Basic Coordination,5.0,15,Basic Coordination,Low,Limited,Low Priority,Sha Tin,Regional Route,2024-10-19
20,機場,KMB,21,機場,KMB,2,40.0,"STOP501,STOP502","機場,青衣","Airport,Tsing Yi",No Coordination,4.2,20,Independent Operation,Basic Coordination,3.8,18,Basic Coordination,Low,Limited,Low Priority,Airport,Airport Route,2024-10-19
25,大學,KMB,26,大學,KMB,4,80.0,"STOP601,STOP602,STOP603,STOP604","大學站,科學園,大埔中心,大埔墟站","University Station,Science Park,Tai Po Central,Tai Po Market Station",No Coordination,9.2,8,Independent Operation,Coordinated Scheduling,6.5,6,Coordinated Operation,High,Significant,High Priority,University Area,University Route,2024-10-19
30,屯門,KMB,31,屯門,KMB,3,50.0,"STOP701,STOP702,STOP703","屯門,元朗,天水圍","Tuen Mun,Yuen Long,Tin Shui Wai",No Coordination,7.5,16,Independent Operation,Limited Coordination,6.0,13,Partial Coordination,Medium,Moderate,Medium Priority,New Territories,Regional Route,2024-10-19
35,荃灣,KMB,36,荃灣,KMB,3,55.0,"STOP801,STOP802,STOP803","荃灣,葵芳,荔景","Tsuen Wan,Kwai Fong,Lai King",No Coordination,6.8,14,Independent Operation,Limited Coordination,5.5,11,Partial Coordination,Medium,Moderate,Medium Priority,Tsuen Wan,Regional Route,2024-10-19
40,觀塘,KMB,41,觀塘,KMB,4,67.0,"STOP901,STOP902,STOP903,STOP904","觀塘,牛頭角,九龍灣,彩虹","Kwun Tong,Ngau Tau Kok,Kowloon Bay,Choi Hung",No Coordination,8.5,10,Independent Operation,Coordinated Scheduling,6.0,8,Coordinated Operation,High,Significant,High Priority,Kwun Tong,Urban Route,2024-10-19
