kmb_route,citybus_route,area,kmb_orig_en,kmb_dest_en,citybus_orig_en,citybus_dest_en,match_type
1A,1,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Happy Valley (Upper),geographic_area
1A,104R,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Ferry Piers),Mong Kok,geographic_area
1A,109,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Ho Man Tin Estate,geographic_area
1A,11,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Ferry Piers),Jardine's Lookout,geographic_area
1A,111,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Ping Shek Estate,geographic_area
1A,111P,central,SAU MAU PING (CENTRAL),STAR FERRY,Choi Fook Estate,Central (Macau Ferry),geographic_area
1A,115,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Kowloon City Ferry Pier,geographic_area
1A,115P,central,SAU MAU PING (CENTRAL),STAR FERRY,Laguna Verde,Central (Macau Ferry),geographic_area
1A,116,central,SAU MAU PING (CENTRAL),STAR FERRY,Quarry Bay (Yau Man Street),Tsz Wan Shan (Central),geographic_area
1A,12,central,SAU MAU PING (CENTRAL),STAR FERRY,Central Pier 3,Robinson Road / Park Road,geographic_area
1A,15,central,SAU MAU PING (CENTRAL),STAR FERRY,Central,The Peak,geographic_area
1A,15C,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Hong Kong Observation Wheel),Garden Road,geographic_area
1A,170,central,SAU MAU PING (CENTRAL),STAR FERRY,Wah Fu (Central),Sha Tin Station,geographic_area
1A,18,central,SAU MAU PING (CENTRAL),STAR FERRY,North Point (Healthy Street Central),Kennedy Town (Belcher Bay) / Sheung Wan,geographic_area
1A,182,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
1A,182X,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Macau Ferry),Sha Tin (Yu Chui Court),geographic_area
1A,18P,central,SAU MAU PING (CENTRAL),STAR FERRY,Kennedy Town (Belcher Bay),North Point (Healthy Street Central),geographic_area
1A,1P,central,SAU MAU PING (CENTRAL),STAR FERRY,Wong Nai Chung Road (Broadwood Road),Central,geographic_area
1A,2,central,SAU MAU PING (CENTRAL),STAR FERRY,Grand Promenade,Central (Macau Ferry),geographic_area
1A,25,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Pier 3/5),Braemar Hill,geographic_area
1A,260,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Exchange Square),Stanley Market,geographic_area
1A,307,central,SAU MAU PING (CENTRAL),STAR FERRY,Tai Po Centre,Central (Ferry Piers) / Sheung Wan,geographic_area
1A,37A,central,SAU MAU PING (CENTRAL),STAR FERRY,Chi Fu Fa Yuen,Central,geographic_area
1A,3A,central,SAU MAU PING (CENTRAL),STAR FERRY,Central (Star Ferry),Felix Villas,geographic_area
1A,4,central,SAU MAU PING (CENTRAL),STAR FERRY,Wong Chuk Hang / Wah Fu (South),Central,geographic_area
1A,41A,central,SAU MAU PING (CENTRAL),STAR FERRY,Wah Fu (Central),North Point Ferry Pier,geographic_area
1A,4X,central,SAU MAU PING (CENTRAL),STAR FERRY,Wah Fu (South),Central (Exchange Square),geographic_area
1A,511,central,SAU MAU PING (CENTRAL),STAR FERRY,Tai Hang Drive,Central (Ferry Piers),geographic_area
