kmb_route,citybus_route,kmb_orig_en,kmb_dest_en,citybus_orig_en,citybus_dest_en,origin_match,dest_match,cross_match,match_type
1,103,CHUK YUEN ESTATE,STAR FERRY,Pokfield Road,Chuk Yuen,False,False,True,name_similarity
1,H2,CHUK YUEN ESTATE,STAR FERRY,Central Ferry - Star Ferry,Tsim Sha Tsui,False,True,False,name_similarity
1,103,STAR FERRY,CHUK YUEN ESTATE,Pokfield Road,Chuk Yuen,False,True,False,name_similarity
1,3A,STAR FERRY,CHUK YUEN ESTATE,Central (Star Ferry),Felix Villas,True,False,False,name_similarity
1,629,STAR FERRY,CHUK YUEN ESTATE,Central (Star Ferry),Ocean Park (Main Entrance / Water World),True,False,False,name_similarity
1,H1,STAR FERRY,CHUK YUEN ESTATE,Central Ferry - Star Ferry,Tsim Sha Tsui,True,False,False,name_similarity
1,H1S,STAR FERRY,CHUK YUEN ESTATE,Central Ferry - Star Ferry,West Kowloon Cultural District,True,False,False,name_similarity
1,H2,STAR FERRY,CHUK YUEN ESTATE,Central Ferry - Star Ferry,Tsim Sha Tsui,True,False,True,name_similarity
1,H2K,STAR FERRY,CHUK YUEN ESTATE,Central Ferry - Star Ferry,West Kowloon Cultural District,True,False,False,name_similarity
1,N21,STAR FERRY,CHUK YUEN ESTATE,Tsim Sha Tsui (Star Ferry),Airport (Ground Transportation Centre),True,False,False,name_similarity
1,N21A,STAR FERRY,CHUK YUEN ESTATE,Tsim Sha Tsui (Star Ferry),Airport (via Yat Tung Estate),True,False,False,name_similarity
1,X15,STAR FERRY,CHUK YUEN ESTATE,Central (Star Ferry),The Peak,True,False,False,name_similarity
1,X9,STAR FERRY,CHUK YUEN ESTATE,Central (Star Ferry),Shek O,True,False,False,name_similarity
1A,15,SAU MAU PING (CENTRAL),STAR FERRY,Central,The Peak,True,False,False,name_similarity
1A,1P,SAU MAU PING (CENTRAL),STAR FERRY,Wong Nai Chung Road (Broadwood Road),Central,False,False,True,name_similarity
1A,37A,SAU MAU PING (CENTRAL),STAR FERRY,Chi Fu Fa Yuen,Central,False,False,True,name_similarity
