route,bound,service_type,orig_en,orig_tc,orig_sc,dest_en,dest_tc,dest_sc,data_timestamp
1,O,1,CHUK YUEN ESTATE,竹園邨,竹园邨,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
1,I,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,CHUK YUEN ESTATE,竹園邨,竹园邨,
1A,O,1,SAU MAU PING (CENTRAL),中秀茂坪,中秀茂坪,STAR FERRY,尖沙咀碼頭,尖沙咀码头,
1A,I,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,SAU MAU PING (CENTRAL),中秀茂坪,中秀茂坪,
2,O,1,STAR FERRY,尖沙咀碼頭,尖沙咀码头,CHEUNG SHA WAN (SO UK ESTATE),長沙灣(蘇屋邨),长沙湾(苏屋邨),
2,I,1,CHEUNG SHA WAN (SO UK ESTATE),長沙灣(蘇屋邨),长沙湾(苏屋邨),STAR FERRY,尖沙咀碼頭,尖沙咀码头,
2A,O,1,LOK WAH,樂華,乐华,MEI FOO,美孚,美孚,
2A,I,1,MEI FOO,美孚,美孚,LOK WAH,樂華,乐华,
2B,O,1,CHUK YUEN ESTATE,竹園邨,竹园邨,CHEUNG SHA WAN,長沙灣,长沙湾,
2B,I,1,CHEUNG SHA WAN,長沙灣,长沙湾,CHUK YUEN ESTATE,竹園邨,竹园邨,
2D,O,1,CHAK ON ESTATE,澤安邨,泽安邨,WONG TAI SIN,黃大仙,黄大仙,
2D,I,1,WONG TAI SIN,黃大仙,黄大仙,CHAK ON ESTATE,澤安邨,泽安邨,
2E,O,1,KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,PAK TIN (NORTH),白田(北),白田(北),
2E,I,1,PAK TIN (NORTH),白田(北),白田(北),KOWLOON CITY FERRY,九龍城碼頭,九龙城码头,
2F,O,1,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),CHEUNG SHA WAN,長沙灣,长沙湾,
2F,O,2,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),CHEUNG SHA WAN,長沙灣,长沙湾,
2F,I,1,CHEUNG SHA WAN,長沙灣,长沙湾,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),
2P,O,1,CHEUNG SHA WAN,長沙灣,长沙湾,TSZ WAN SHAN (NORTH),慈雲山(北),慈云山(北),
2X,O,1,CHOI FOOK,彩福,彩福,MEI FOO,美孚,美孚,
2X,I,1,MEI FOO,美孚,美孚,CHOI FOOK,彩福,彩福,
3B,O,1,TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),
3B,I,1,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),
3B,I,2,HUNG HOM (HUNG LUEN ROAD),紅磡(紅鸞道),红磡(红鸾道),TSZ WAN SHAN (CENTRAL),慈雲山(中),慈云山(中),
