stop,name_en,name_tc,name_sc,lat,long,data_timestamp
18492910339410B1,CHUK YUEN ESTATE BUS TERMINUS (WT916),竹園邨總站 (WT916),竹园邨总站 (WT916),22.345415,114.192640,
9ED7E93749ABAE67,RAINBOW PRIMARY SCHOOL (WT418),天虹小學 (WT418),天虹小学 (WT418),22.345076,114.190023,
9583BCF159B682BA,MA CHAI HANG RECREATION GROUND (WT426),馬仔坑遊樂場 (WT426),马仔坑游乐场 (WT426),22.344296,114.187763,
D360B3EBF155C15A,MORSE PARK (WT105),摩士公園 (WT105),摩士公园 (WT105),22.339876,114.189506,
713BF17AF24FE4DA,MORSE PARK SPORTS CENTRE (WT106),摩士公園體育館 (WT106),摩士公园体育馆 (WT106),22.338347,114.189704,
7C4E16F4A138B142,WAI TUNG HOUSE (WT572),偉東樓 (WT572),伟东楼 (WT572),22.335816,114.191616,
A47333D8B495F77D,YING TUNG HOUSE (WT573),盈東樓 (WT573),盈东楼 (WT573),22.334044,114.191109,
946C74E30100FE80,KOWLOON WALLED CITY PARK (WT575),九龍寨城公園 (WT575),九龙寨城公园 (WT575),22.332261,114.187981,
C8203D267CECF949,CARPENTER ROAD (KC631),賈炳達道 (KC631),贾炳达道 (KC631),22.330135,114.187112,
DB581AD59964EA41,PRINCE EDWARD ROAD WEST (KC633),太子道西 (KC633),太子道西 (KC633),22.328025,114.187038,
9DBBC71CB1578A87,LA SALLE ROAD (KC738),喇沙利道 (KC738),喇沙利道 (KC738),22.326473,114.183159,
312CD2A987AA2773,EARL STREET (KC740),伯爵街 (KC740),伯爵街 (KC740),22.325975,114.180423,
40E8A4AA35AEB18A,KNIGHT STREET (KC742),勵德街 (KC742),励德街 (KC742),22.325359,114.176886,
60F1DDDCB555E319,"DIOCESAN BOYS' SCHOOL, PRINCE EDWARD ROAD WEST","拔萃男書院,太子道西 (KC743)","拔萃男书院,太子道西 (KC743)",22.324949,114.174484,
