datetime,Ta Kwu Ling,Lau Fau Shan,Sha Tin,Tsing Yi,Kai Tak,Cheung Chau,Sai Kung,Chek Lap Kok
2023-07-17 00:40:00,12.0,19.0,17.0,12.0,15.0,44.0,31.0,25.0
2023-07-17 00:50:00,19.0,21.0,18.0,15.0,19.0,41.0,35.0,21.0
2023-07-17 01:00:00,18.0,18.0,17.0,9.0,20.0,43.0,35.0,23.0
2023-07-17 01:10:00,14.0,23.0,17.0,12.0,14.0,42.0,31.0,26.0
2023-07-17 01:20:00,15.0,27.0,15.0,10.0,16.0,40.0,31.0,23.0
2023-07-17 01:30:00,15.0,25.0,16.0,17.0,10.0,40.0,36.0,25.0
2023-07-17 01:40:00,14.0,23.0,19.0,15.0,20.0,43.0,30.0,25.0
2023-07-17 01:50:00,14.0,22.0,15.0,15.0,17.0,40.0,32.0,26.0
2023-07-17 02:00:00,14.0,23.0,17.0,17.0,21.0,40.0,34.0,27.0
2023-07-17 02:10:00,17.0,24.0,15.0,15.0,15.0,46.0,34.0,27.0
2023-07-17 02:20:00,16.0,25.0,19.0,12.0,22.0,46.0,37.0,29.0
2023-07-17 02:30:00,21.0,23.0,18.0,16.0,19.0,45.0,41.0,30.0
2023-07-17 02:40:00,15.0,26.0,17.0,17.0,19.0,47.0,43.0,30.0
2023-07-17 02:50:00,17.0,26.0,22.0,15.0,19.0,46.0,41.0,30.0
2023-07-17 03:00:00,18.0,28.0,18.0,17.0,21.0,49.0,40.0,28.0
2023-07-17 03:10:00,18.0,28.0,21.0,15.0,21.0,48.0,37.0,29.0
2023-07-17 03:20:00,16.0,30.0,19.0,19.0,24.0,51.0,39.0,26.0
2023-07-17 03:30:00,20.0,28.0,22.0,22.0,18.0,53.0,36.0,32.0
2023-07-17 03:40:00,18.0,26.0,19.0,21.0,22.0,44.0,35.0,30.0
2023-07-17 03:50:00,21.0,22.0,19.0,14.0,21.0,45.0,40.0,30.0
2023-07-17 04:00:00,19.0,20.0,19.0,17.0,28.0,42.0,28.0,25.0
2023-07-17 04:10:00,10.0,26.0,19.0,12.0,25.0,53.0,51.0,24.0
2023-07-17 04:20:00,15.0,19.0,12.0,9.0,26.0,49.0,33.0,24.0
2023-07-17 04:30:00,15.0,13.0,12.0,14.0,25.0,48.0,42.0,26.0
2023-07-17 04:40:00,19.0,9.0,18.0,21.0,26.0,50.0,37.0,26.0
2023-07-17 04:50:00,12.0,14.0,19.0,19.0,28.0,60.0,34.0,23.0
2023-07-17 05:00:00,12.0,21.0,17.0,19.0,29.0,63.0,39.0,32.0
2023-07-17 05:10:00,19.0,20.0,19.0,17.0,27.0,61.0,35.0,40.0
2023-07-17 05:20:00,19.0,30.0,19.0,21.0,35.0,64.0,37.0,38.0
2023-07-17 05:30:00,15.0,26.0,19.0,24.0,36.0,62.0,36.0,43.0
2023-07-17 05:40:00,19.0,22.0,18.0,25.0,37.0,71.0,40.0,44.0
2023-07-17 05:50:00,20.0,24.0,19.0,26.0,35.0,69.0,42.0,46.0
2023-07-17 06:00:00,19.0,29.0,21.0,22.0,33.0,67.0,37.0,42.0
2023-07-17 06:10:00,19.0,28.0,22.0,22.0,37.0,66.0,32.0,42.0
2023-07-17 06:20:00,22.0,37.0,19.0,22.0,37.0,67.0,37.0,44.0
2023-07-17 06:30:00,22.0,39.0,16.0,30.0,34.0,65.0,38.0,45.0
2023-07-17 06:40:00,19.0,37.0,15.0,30.0,36.0,69.0,35.0,46.0
2023-07-17 06:50:00,20.0,38.0,17.0,30.0,37.0,68.0,33.0,44.0
2023-07-17 07:00:00,21.0,33.0,21.0,31.0,36.0,68.0,42.0,44.0
2023-07-17 07:10:00,23.0,40.0,17.0,32.0,34.0,70.0,40.0,48.0
2023-07-17 07:20:00,20.0,37.0,17.0,28.0,28.0,68.0,40.0,47.0
2023-07-17 07:30:00,19.0,35.0,15.0,29.0,31.0,74.0,36.0,48.0
2023-07-17 07:40:00,18.0,37.0,15.0,25.0,32.0,71.0,40.0,48.0
2023-07-17 07:50:00,22.0,41.0,10.0,29.0,36.0,69.0,42.0,48.0
2023-07-17 08:00:00,22.0,36.0,14.0,30.0,35.0,67.0,42.0,46.0
2023-07-17 08:10:00,21.0,35.0,18.0,28.0,33.0,75.0,40.0,47.0
2023-07-17 08:20:00,26.0,40.0,21.0,28.0,26.0,72.0,41.0,45.0
2023-07-17 08:30:00,27.0,37.0,13.0,29.0,29.0,70.0,40.0,45.0
2023-07-17 08:40:00,27.0,40.0,19.0,28.0,34.0,67.0,38.0,45.0
2023-07-17 08:50:00,22.0,35.0,15.0,28.0,33.0,68.0,41.0,47.0
