datetime,Ta Kwu Ling,Lau Fau Shan,Sha Tin,Tsing Yi,Kai Tak,Cheung Chau,Sai Kung,Chek Lap Kok
2025-09-07 21:20:00,12.0,18.0,6.0,13.0,15.0,40.0,8.0,28.0
2025-09-07 21:30:00,8.0,17.0,5.0,14.0,17.0,38.0,11.0,27.0
2025-09-07 21:40:00,5.0,18.0,5.0,11.0,19.0,41.0,12.0,25.0
2025-09-07 21:50:00,8.0,18.0,3.0,12.0,18.0,43.0,10.0,29.0
2025-09-07 22:00:00,9.0,19.0,6.0,10.0,17.0,40.0,11.0,23.0
2025-09-07 22:10:00,6.0,17.0,5.0,8.0,18.0,42.0,14.0,23.0
2025-09-07 22:20:00,6.0,17.0,5.0,9.0,17.0,41.0,11.0,27.0
2025-09-07 22:30:00,8.0,17.0,4.0,12.0,18.0,45.0,12.0,30.0
2025-09-07 22:40:00,6.0,15.0,5.0,12.0,18.0,46.0,20.0,24.0
2025-09-07 22:50:00,6.0,15.0,8.0,10.0,25.0,45.0,26.0,23.0
2025-09-07 23:00:00,9.0,14.0,5.0,7.0,27.0,44.0,19.0,24.0
2025-09-07 23:10:00,8.0,16.0,12.0,9.0,25.0,43.0,19.0,25.0
2025-09-07 23:20:00,7.0,15.0,14.0,17.0,19.0,47.0,22.0,24.0
2025-09-07 23:30:00,8.0,19.0,10.0,14.0,21.0,43.0,17.0,27.0
2025-09-07 23:40:00,12.0,19.0,12.0,15.0,21.0,48.0,16.0,25.0
2025-09-07 23:50:00,14.0,14.0,12.0,13.0,23.0,45.0,12.0,27.0
2025-09-08 00:00:00,16.0,12.0,10.0,12.0,24.0,38.0,12.0,25.0
2025-09-08 00:10:00,11.0,18.0,6.0,16.0,21.0,41.0,16.0,26.0
2025-09-08 00:20:00,11.0,19.0,5.0,15.0,18.0,43.0,18.0,27.0
2025-09-08 00:30:00,12.0,16.0,5.0,12.0,21.0,42.0,19.0,33.0
2025-09-08 00:40:00,8.0,20.0,4.0,13.0,26.0,63.0,24.0,30.0
2025-09-08 00:50:00,10.0,23.0,11.0,14.0,23.0,45.0,22.0,33.0
2025-09-08 01:00:00,11.0,23.0,11.0,17.0,26.0,40.0,26.0,28.0
2025-09-08 01:10:00,11.0,23.0,12.0,18.0,18.0,40.0,18.0,24.0
2025-09-08 01:20:00,10.0,17.0,11.0,13.0,14.0,41.0,14.0,27.0
2025-09-08 01:30:00,13.0,10.0,1.0,11.0,17.0,40.0,12.0,30.0
2025-09-08 01:40:00,9.0,14.0,6.0,12.0,19.0,47.0,22.0,32.0
2025-09-08 01:50:00,12.0,12.0,16.0,11.0,24.0,47.0,33.0,34.0
2025-09-08 02:00:00,15.0,13.0,19.0,12.0,22.0,43.0,28.0,28.0
2025-09-08 02:10:00,22.0,16.0,14.0,15.0,19.0,53.0,23.0,34.0
2025-09-08 02:20:00,22.0,18.0,11.0,15.0,22.0,49.0,25.0,37.0
2025-09-08 02:30:00,18.0,19.0,10.0,17.0,27.0,54.0,25.0,35.0
2025-09-08 02:40:00,15.0,21.0,10.0,21.0,26.0,54.0,24.0,40.0
2025-09-08 02:50:00,17.0,26.0,8.0,20.0,25.0,55.0,25.0,41.0
2025-09-08 03:00:00,16.0,23.0,6.0,17.0,32.0,60.0,29.0,43.0
2025-09-08 03:10:00,17.0,21.0,8.0,18.0,28.0,61.0,27.0,42.0
2025-09-08 03:20:00,17.0,21.0,9.0,18.0,35.0,51.0,19.0,40.0
2025-09-08 03:30:00,15.0,22.0,6.0,15.0,30.0,69.0,26.0,37.0
2025-09-08 03:40:00,14.0,24.0,9.0,20.0,29.0,68.0,20.0,39.0
2025-09-08 03:50:00,14.0,23.0,8.0,21.0,33.0,70.0,19.0,38.0
2025-09-08 04:00:00,19.0,24.0,12.0,19.0,33.0,74.0,21.0,40.0
2025-09-08 04:10:00,16.0,24.0,12.0,21.0,33.0,76.0,26.0,33.0
2025-09-08 04:20:00,15.0,22.0,10.0,18.0,32.0,78.0,28.0,28.0
2025-09-08 04:30:00,17.0,12.0,9.0,21.0,33.0,76.0,28.0,39.0
2025-09-08 04:40:00,21.0,16.0,18.0,19.0,35.0,77.0,31.0,41.0
2025-09-08 04:50:00,19.0,15.0,25.0,23.0,25.0,67.0,36.0,36.0
2025-09-08 05:00:00,18.0,17.0,12.0,25.0,46.0,73.0,43.0,40.0
2025-09-08 05:10:00,19.0,22.0,19.0,22.0,37.0,76.0,44.0,39.0
2025-09-08 05:20:00,28.0,22.0,23.0,24.0,35.0,91.0,40.0,37.0
2025-09-08 05:30:00,24.0,20.0,25.0,26.0,,79.0,44.0,40.0
2025-09-08 05:40:00,21.0,24.0,25.0,22.0,37.0,81.0,40.0,46.0
2025-09-08 05:50:00,27.0,29.0,21.0,28.0,41.0,77.0,46.0,38.0
2025-09-08 06:00:00,26.0,24.0,21.0,30.0,42.0,77.0,49.0,47.0
2025-09-08 06:10:00,29.0,40.0,21.0,26.0,44.0,80.0,46.0,44.0
2025-09-08 06:20:00,30.0,31.0,30.0,32.0,40.0,93.0,57.0,44.0
2025-09-08 06:30:00,29.0,26.0,22.0,32.0,42.0,87.0,47.0,55.0
2025-09-08 06:40:00,24.0,34.0,26.0,15.0,39.0,95.0,45.0,58.0
2025-09-08 06:50:00,27.0,31.0,28.0,36.0,38.0,90.0,48.0,49.0
2025-09-08 07:00:00,31.0,30.0,23.0,28.0,45.0,84.0,44.0,55.0
2025-09-08 07:10:00,35.0,23.0,22.0,29.0,40.0,80.0,46.0,56.0
2025-09-08 07:20:00,30.0,24.0,26.0,28.0,45.0,86.0,46.0,53.0
2025-09-08 07:30:00,27.0,26.0,23.0,32.0,40.0,75.0,47.0,41.0
2025-09-08 07:40:00,28.0,41.0,15.0,30.0,38.0,71.0,50.0,42.0
2025-09-08 07:50:00,18.0,39.0,30.0,26.0,45.0,92.0,54.0,47.0
2025-09-08 08:00:00,25.0,32.0,26.0,24.0,60.0,80.0,55.0,48.0
2025-09-08 08:10:00,27.0,35.0,30.0,36.0,57.0,74.0,60.0,41.0
2025-09-08 08:20:00,30.0,37.0,30.0,45.0,46.0,69.0,51.0,47.0
2025-09-08 08:30:00,25.0,46.0,28.0,46.0,43.0,60.0,55.0,64.0
2025-09-08 08:40:00,22.0,42.0,30.0,32.0,53.0,72.0,68.0,51.0
2025-09-08 08:50:00,20.0,35.0,20.0,24.0,54.0,71.0,69.0,51.0
2025-09-08 09:00:00,33.0,34.0,21.0,26.0,48.0,69.0,63.0,46.0
2025-09-08 09:10:00,23.0,35.0,27.0,33.0,44.0,70.0,67.0,46.0
2025-09-08 09:20:00,22.0,39.0,28.0,19.0,53.0,58.0,64.0,54.0
2025-09-08 09:30:00,26.0,35.0,29.0,19.0,52.0,59.0,57.0,51.0
2025-09-08 09:40:00,24.0,35.0,32.0,41.0,50.0,62.0,61.0,37.0
2025-09-08 09:50:00,23.0,33.0,24.0,41.0,46.0,66.0,59.0,35.0
2025-09-08 10:00:00,21.0,30.0,19.0,45.0,33.0,62.0,55.0,37.0
2025-09-08 10:10:00,21.0,47.0,19.0,36.0,35.0,64.0,45.0,50.0
2025-09-08 10:20:00,19.0,36.0,17.0,48.0,40.0,64.0,45.0,40.0
2025-09-08 10:30:00,17.0,36.0,19.0,47.0,32.0,73.0,53.0,39.0
2025-09-08 10:40:00,14.0,42.0,14.0,51.0,35.0,72.0,44.0,49.0
2025-09-08 10:50:00,15.0,39.0,16.0,43.0,32.0,62.0,40.0,52.0
