Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202509061600,Central Pier,East,14,18
202509061600,Chek Lap Kok,West,8,10
202509061600,Cheung Chau,Southeast,19,22
202509061600,Cheung Chau Beach,Southeast,17,26
202509061600,Green Island,South,25,30
202509061600,Hong Kong Sea School,East,10,14
202509061600,Kai Tak,Southeast,18,23
202509061600,King's Park,Southeast,12,17
202509061600,Lamma Island,East,16,22
202509061600,Lau Fau Shan,West,14,21
202509061600,Ngong Ping,Variable,8,13
202509061600,North Point,East,18,22
202509061600,Peng Chau,South,10,18
202509061600,Sai Kung,South,13,20
202509061600,Sha Chau,Variable,6,9
202509061600,Sha Tin,East,10,17
202509061600,Shek Kong,East,12,17
202509061600,Stanley,Southeast,12,18
202509061600,Star Ferry,East,12,17
202509061600,Ta Kwu Ling,East,9,18
202509061600,Tai Mei Tuk,East,17,21
202509061600,Tai Po Kau,East,12,16
202509061600,Tap Mun,Southeast,22,29
202509061600,Tate's Cairn,N/A,14,18
202509061600,Tseung Kwan O,Northeast,5,15
202509061600,Tsing Yi,South,11,16
202509061600,Tuen Mun,South,10,17
202509061600,Waglan Island,East,14,18
202509061600,Wetland Park,Southeast,1,8
202509061600,Wong Chuk Hang,Variable,5,16
