Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
202507200530,Central Pier,Northwest,22,34
202507200530,Chek Lap Kok,North,40,51
202507200530,Cheung Chau,North,42,60
202507200530,Cheung Chau Beach,Northeast,29,57
202507200530,Green Island,North,48,60
202507200530,Hong Kong Sea School,North,25,49
202507200530,Kai Tak,Northwest,30,60
202507200530,King's Park,North,21,40
202507200530,Lamma Island,North,37,51
202507200530,Lau Fau Shan,North,35,45
202507200530,Ngong Ping,N/A,42,73
202507200530,North Point,North,24,40
202507200530,Peng Chau,Northwest,38,57
202507200530,Sai Kung,North,35,60
202507200530,Sha Chau,North,37,55
202507200530,Sha Tin,North,17,37
202507200530,Shek Kong,North,N/A,N/A
202507200530,Stanley,N/A,N/A,N/A
202507200530,Star Ferry,Northwest,18,36
202507200530,Ta Kwu Ling,North,17,34
202507200530,Tai Mei Tuk,North,37,61
202507200530,Tai Po Kau,Northwest,21,35
202507200530,Tap Mun,North,23,41
202507200530,Tate's Cairn,North,67,90
202507200530,Tseung Kwan O,North,26,47
202507200530,Tsing Yi,Northwest,30,51
202507200530,Tuen Mun,North,6,21
202507200530,Waglan Island,North,69,83
202507200530,Wetland Park,North,5,17
202507200530,Wong Chuk Hang,North,11,32
